# source: TM-100991 pdf p.45, Figure 9, panel T45
# quantity: T45 vs time, Ballin real-time model (solid line) -- the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (0 to 5.0). The vertical frames are fitted over THIS panel's rows: left column 596.64 (slope -4.60 m px/row), right 2251.72 (slope -7.00), width 1655.08 px against the page-wide 1671. The page is skewed; see `Panel.left_slope`.
# value: T45, axis range 1250.0 to 2250.0, no unit printed on the figure
# points: 598
# x tick check: worst interior major tick off by 0.0152 s
# frame tilt corrected: top +5.60 px, bottom +5.20 px across the panel (+1.64 % of panel height). The page is skewed; see `frame_tilt`.
# NOT transcribed. Values carry read error.
t_s,value
1.63145,1874.73837
1.63447,1874.74827
1.63749,1874.75816
1.64051,1874.76806
1.64353,1874.77796
1.64655,1874.78785
1.64958,1874.79775
1.65260,1874.80765
1.65562,1874.81755
1.65864,1874.82744
1.66166,1874.83734
1.66468,1874.84724
1.66770,1874.85713
1.67072,1876.38515
1.67375,1874.87693
1.67677,1874.88683
1.73718,1879.63921
1.74020,1879.64911
1.74322,1879.65901
1.74624,1879.66891
1.74926,1879.67881
1.75228,1879.68871
1.75530,1879.69861
1.75833,1879.70851
1.76134,1881.23657
1.76436,1881.24647
1.76738,1881.25637
1.77040,1881.26627
1.77343,1879.75802
1.77646,1879.76792
1.83989,1883.01221
1.84291,1883.02211
1.84593,1883.03201
1.84896,1883.04192
1.85198,1883.05182
1.85501,1881.54354
1.85803,1881.55344
1.86105,1881.56334
1.86407,1881.57324
1.86709,1881.58315
1.87012,1881.59305
1.87314,1881.60295
1.87615,1883.13105
1.93959,1884.85725
1.94262,1884.86715
1.94564,1884.87706
1.94866,1884.88696
1.95168,1884.89687
1.95470,1884.90677
1.95772,1884.91668
1.96074,1884.92658
1.96377,1884.93649
1.96679,1884.94639
1.96981,1884.95630
1.97283,1884.96620
1.97585,1884.97611
1.97887,1884.98601
1.98190,1884.99592
2.03929,1888.22063
2.04231,1888.23053
2.04533,1888.24044
2.04835,1888.25035
2.05137,1888.26026
2.05440,1888.27017
2.05742,1888.28007
2.06044,1888.28998
2.06346,1888.29989
2.06648,1888.30980
2.06950,1888.31970
2.07252,1888.32961
2.07555,1888.33952
2.07857,1888.34943
2.14201,1890.07579
2.14503,1890.08570
2.14805,1890.09561
2.15108,1890.10552
2.15409,1891.63372
2.15711,1891.64363
2.16014,1890.13524
2.16316,1890.14515
2.16618,1890.15506
2.16921,1890.16497
2.17223,1890.17488
2.17525,1890.18479
2.17827,1890.19470
2.24171,1891.92113
2.24473,1893.44937
2.24775,1893.45928
2.25076,1894.98752
2.25379,1893.47910
2.25681,1893.48902
2.25983,1895.01726
2.26285,1895.02717
2.26587,1895.03709
2.26889,1895.04700
2.27191,1895.05691
2.27493,1895.06683
2.27795,1895.07674
2.28098,1895.08665
2.28401,1893.57822
2.34142,1893.76656
2.34444,1893.77647
2.34745,1895.30475
2.35047,1895.31466
2.35350,1893.80621
2.35652,1893.81612
2.35954,1893.82603
2.36256,1895.35432
2.36558,1895.36423
2.36861,1893.85577
2.37162,1895.38406
2.37464,1895.39397
2.37766,1895.40388
2.38069,1895.41380
2.44110,1898.64887
2.44413,1897.14039
2.44715,1897.15030
2.45017,1897.16022
2.45319,1897.17013
2.45622,1897.18005
2.45924,1897.18996
2.46226,1897.19988
2.46528,1897.20979
2.46830,1897.21971
2.47132,1897.22963
2.47434,1897.23954
2.47737,1897.24946
2.48039,1897.25937
2.48341,1897.26929
2.54081,1898.97611
2.54383,1898.98603
2.54685,1898.99595
2.54987,1899.00586
2.55290,1899.01578
2.55592,1899.02570
2.55894,1899.03561
2.56196,1899.04553
2.56498,1899.05545
2.56800,1899.06536
2.57102,1899.07528
2.57405,1899.08520
2.57707,1899.09511
2.58009,1899.10503
2.58311,1899.11495
2.64352,1902.35023
2.64654,1903.87863
2.64956,1903.88855
2.65258,1903.89847
2.65560,1903.90839
2.66467,1903.93815
2.66769,1903.94807
2.67071,1903.95799
2.74322,1904.19609
2.74625,1904.20601
2.74927,1904.21593
2.75229,1904.22585
2.75531,1904.23577
2.75833,1904.24569
2.76135,1904.25561
2.76438,1904.26553
2.76740,1904.27545
2.77042,1904.28537
2.77343,1905.81381
2.77645,1905.82374
2.77947,1905.83366
2.78250,1905.84358
2.84293,1904.52348
2.84596,1904.53340
2.84898,1904.54333
2.85200,1904.55325
2.85502,1904.56317
2.85803,1906.09164
2.86105,1906.10156
2.86409,1904.59293
2.86711,1904.60285
2.87012,1906.13133
2.87314,1906.14125
2.87617,1904.63262
2.87919,1904.64254
2.88221,1904.65246
2.93960,1909.39671
2.94262,1909.40664
2.94564,1909.41656
2.94867,1907.90790
2.95169,1907.91783
2.95470,1909.44634
2.95772,1909.45626
2.96075,1909.46619
2.96377,1909.47611
2.96680,1907.96745
2.96982,1907.97737
2.97284,1907.98730
2.97585,1909.51581
2.97888,1908.00715
2.98191,1908.01707
3.14202,1913.09903
3.14504,1913.10896
3.14807,1911.60023
3.15109,1911.61016
3.15410,1913.13874
3.15713,1913.14867
3.16015,1913.15860
3.16317,1913.16853
3.16620,1911.65980
3.16922,1911.66972
3.17224,1911.67965
3.17525,1913.20824
3.17828,1913.21817
3.23872,1911.89805
3.24174,1911.90798
3.24476,1911.91791
3.24778,1911.92784
3.25080,1911.93776
3.25382,1911.94769
3.25684,1911.95762
3.25987,1911.96755
3.26289,1911.97747
3.26590,1913.50610
3.26892,1913.51603
3.27194,1913.52596
3.27496,1913.53589
3.27799,1913.54582
3.28101,1913.55574
3.33842,1913.74440
3.34144,1913.75432
3.34446,1913.76425
3.34748,1913.77418
3.35050,1913.78411
3.35352,1913.79404
3.35654,1913.80397
3.35957,1913.81390
3.36259,1913.82383
3.36561,1913.83376
3.36863,1913.84369
3.37165,1913.85362
3.37467,1913.86355
3.37770,1913.87348
3.43813,1914.07207
3.44115,1914.08200
3.44416,1915.61069
3.44717,1917.13938
3.45019,1917.14931
3.45321,1917.15925
3.45624,1917.16918
3.45926,1917.17911
3.46228,1917.18904
3.46530,1917.19897
3.46832,1917.20890
3.47134,1917.21884
3.47436,1917.22877
3.47739,1917.23870
3.53479,1917.42741
3.53782,1917.43734
3.54084,1917.44728
3.54386,1917.45721
3.54688,1917.46714
3.54990,1917.47707
3.55292,1917.48701
3.55595,1917.49694
3.55897,1917.50687
3.56199,1917.51680
3.56501,1917.52674
3.56803,1917.53667
3.57105,1917.54660
3.57407,1917.55653
3.57710,1917.56647
3.58012,1917.57640
3.63753,1917.76512
3.64055,1917.77505
3.64357,1917.78498
3.64659,1917.79492
3.64961,1917.80485
3.65263,1917.81478
