# source: TM-100991 pdf p.46, Figure 10, panel T41
# quantity: T41 vs time, GE reference standard model data (+ markers) -- the hardware reference Ballin was himself validating against
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (shared axis, 0 to 5.0)
# value: T41, axis range 1500.0 to 2500.0, no unit printed on the figure
# points: 45
# x tick check: worst interior major tick off by 0.0449 s
# sample lattice: pitch 32.97 px = 0.0988 s
# NOT transcribed. Values carry read error.
t_s,value
0.11439,2227.83094
0.21266,2226.24840
0.31456,2225.75758
0.41633,2223.95185
0.51295,2224.24242
0.60841,1818.04040
0.70228,1814.08081
0.80782,1817.63085
0.90481,1813.54047
1.00442,1807.72947
1.10316,1802.47934
1.19929,1797.16520
1.29847,1791.23543
1.39682,1783.05275
1.49458,1779.25408
1.59372,1779.27664
1.69263,1778.78788
1.79154,1776.28004
1.89026,1773.67114
1.98888,1771.12636
2.08798,1768.13131
2.18568,1764.64646
2.28559,1760.60606
2.38461,1755.03421
2.48124,1754.09317
2.57939,1747.96238
2.67698,1745.71135
2.77613,1745.85196
2.87337,1742.34450
2.97395,1739.17112
3.07519,1736.36364
3.17385,1734.45221
3.27447,1732.30611
3.37727,1726.44628
3.47647,1725.70346
3.57604,1723.32016
3.67632,1721.21212
3.77513,1719.39394
3.87087,1718.59774
3.96955,1714.57680
4.06872,1714.66667
4.16634,1710.83172
4.26471,1712.49335
4.36481,1707.72105
4.46292,1705.64263
