# source: TM-100991 pdf p.45, Figure 9, panel T41
# quantity: T41 vs time, Ballin real-time model (solid line) -- the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (0 to 5.0). The vertical frames are fitted over THIS panel's rows: left column 598.59 (slope -0.97 m px/row), right 2256.25 (slope -10.39), width 1657.66 px against the page-wide 1671. The page is skewed; see `Panel.left_slope`.
# value: T41, axis range 2000.0 to 3000.0, no unit printed on the figure
# points: 627
# x tick check: worst interior major tick off by 0.0037 s
# frame tilt corrected: top +5.38 px, bottom +5.47 px across the panel (+1.64 % of panel height). The page is skewed; see `frame_tilt`.
# NOT transcribed. Values carry read error.
t_s,value
0.03222,2183.75086
0.03524,2183.76073
0.03827,2183.77061
0.04129,2183.78048
0.04431,2183.79035
0.04733,2183.80022
0.05035,2183.81010
0.05337,2183.81997
0.05639,2183.82984
0.05941,2183.83971
0.06243,2183.84959
0.06545,2183.85946
0.12587,2184.05690
0.12889,2184.06678
0.13192,2184.07665
0.13494,2184.08652
0.13796,2184.09639
0.14098,2184.10626
0.14400,2184.11614
0.14702,2184.12601
0.15004,2184.13588
0.15306,2184.14575
0.15608,2184.15563
0.15910,2184.16550
0.16212,2184.17537
0.16515,2184.18524
0.16817,2184.19511
0.22859,2184.39256
0.23161,2184.40243
0.23463,2184.41230
0.23765,2184.42217
0.24067,2184.43205
0.24369,2184.44192
0.24671,2184.45179
0.24973,2184.46166
0.25275,2184.47154
0.25577,2184.48141
0.25879,2184.49128
0.26182,2184.50115
0.26484,2184.51102
0.26786,2184.52090
0.27088,2183.01778
0.27390,2183.02766
0.33130,2183.21523
0.33432,2183.22510
0.33734,2183.23497
0.34036,2183.24485
0.34338,2183.25472
0.34640,2183.26459
0.34943,2183.27446
0.35245,2183.28434
0.35547,2183.29421
0.35849,2183.30408
0.36151,2183.31395
0.36453,2183.32383
0.36755,2183.33370
0.37057,2183.34357
0.37359,2183.35344
0.43099,2183.54101
0.43401,2183.55089
0.43703,2183.56076
0.44005,2183.57063
0.44307,2183.58050
0.44610,2183.59038
0.44912,2183.60025
0.45214,2183.61012
0.45516,2183.61999
0.45818,2183.62986
0.46120,2183.63974
0.46422,2183.64961
0.46724,2183.65948
0.47026,2183.66935
0.47328,2183.67922
0.56269,2787.64714
0.56572,2781.60507
0.56874,2778.58893
0.57177,2775.57279
0.57479,2772.55665
0.57781,2769.54051
0.58084,2766.52437
0.63829,2713.75677
0.64131,2710.74065
0.64433,2709.23748
0.64736,2707.73432
0.65038,2704.71820
0.65340,2703.21504
0.65643,2700.19892
0.65945,2697.18280
0.66247,2697.19259
0.66549,2694.17648
0.66852,2692.67332
0.67153,2692.68311
0.67456,2689.66700
0.67758,2689.67679
0.68060,2686.66068
0.73802,2656.58781
0.74104,2655.08466
0.74406,2653.58151
0.74708,2653.59131
0.75010,2653.60111
0.75312,2650.58502
0.75614,2649.08187
0.75917,2647.57872
0.76218,2647.58852
0.76521,2646.08538
0.76823,2644.58223
0.77125,2644.59203
0.77426,2644.60183
0.77728,2644.61163
0.78031,2641.59554
0.83770,2626.65236
0.84071,2626.66217
0.84373,2626.67197
0.84675,2626.68177
0.84977,2626.69158
0.85280,2623.67550
0.85581,2623.68531
0.85883,2623.69511
0.86185,2623.70491
0.86488,2620.68884
0.86790,2620.69864
0.87091,2620.70845
0.87393,2620.71825
0.87695,2620.72806
0.87997,2620.73786
0.94036,2614.88222
0.94337,2614.89203
0.94640,2613.38890
0.94942,2613.39870
0.95243,2613.40851
0.95545,2613.41832
0.95847,2613.42812
0.96149,2613.43793
0.96451,2613.44773
0.96753,2611.94461
0.97055,2611.95441
0.97357,2611.96422
0.97659,2611.97402
0.97960,2611.98383
1.03697,2606.11844
1.03999,2606.12824
1.04301,2607.65098
1.04603,2607.66078
1.04904,2607.67059
1.05206,2607.68039
1.05508,2607.69020
1.05810,2607.70001
1.06112,2607.70981
1.06414,2607.71962
1.06716,2607.72943
1.07017,2607.73923
1.07320,2606.23612
1.07622,2606.24592
1.07923,2606.25573
1.13659,2606.44205
1.13961,2606.45186
1.14262,2606.46167
1.14564,2606.47147
1.14866,2606.48128
1.15168,2606.49109
1.15470,2606.50089
1.15772,2606.51070
1.16074,2606.52051
1.16375,2606.53031
1.16677,2606.54012
1.16979,2606.54992
1.17281,2606.55973
1.17583,2606.56954
1.17885,2606.57934
1.23922,2606.77547
1.24224,2606.78528
1.24525,2606.79509
1.24827,2606.80489
1.25129,2606.81470
1.25431,2606.82450
1.25733,2606.83431
1.26035,2606.84412
1.26337,2606.85392
1.26638,2606.86373
1.26940,2606.87354
1.27242,2606.88334
1.27544,2606.89315
1.27846,2606.90296
1.28148,2606.91276
1.33580,2611.62798
1.33881,2611.63779
1.34183,2611.64759
1.34485,2611.65740
1.34787,2611.66720
1.35089,2611.67701
1.35391,2611.68681
1.35693,2611.69662
1.35994,2611.70643
1.36296,2613.22913
1.36598,2613.23894
1.36900,2611.73584
1.37202,2611.74565
1.37504,2611.75545
1.37806,2611.76526
1.43540,2614.97735
1.43842,2614.98716
1.44143,2614.99696
1.44445,2615.00677
1.44747,2615.01657
1.45049,2615.02638
1.45351,2615.03618
1.45653,2615.04599
1.45954,2615.05579
1.46256,2615.06560
1.46558,2615.07540
1.46860,2615.08521
1.47162,2615.09501
1.47464,2615.10482
1.47766,2613.60173
1.53500,2618.32669
1.53801,2618.33649
1.54103,2618.34630
1.54405,2618.35610
1.54707,2618.36591
1.55009,2616.86283
1.55312,2615.35975
1.55614,2615.36955
1.55916,2615.37936
1.56217,2616.90205
1.56519,2616.91185
1.56821,2616.92166
1.57122,2618.44434
1.57424,2618.45415
1.57725,2619.97684
1.63158,2620.15331
1.63460,2620.16311
1.63762,2620.17292
1.64064,2620.18272
1.64365,2621.70540
1.64667,2621.71521
1.64969,2621.72501
1.65270,2623.24769
1.65572,2623.25750
1.65874,2623.26730
1.66175,2623.27710
1.66477,2623.28691
1.66779,2623.29671
1.67081,2623.30652
1.67383,2621.80344
1.67685,2621.81325
1.73418,2628.05100
1.73720,2628.06081
1.74022,2628.07061
1.74324,2626.56754
1.74626,2626.57735
1.74928,2625.07428
1.75230,2625.08408
1.75532,2625.09389
1.75834,2625.10369
1.76135,2626.62636
1.76436,2628.14903
1.76738,2628.15884
1.77041,2626.65577
1.77342,2626.66557
1.77644,2626.67538
1.83379,2628.37450
1.83681,2628.38430
1.83982,2628.39410
1.84284,2628.40391
1.84586,2628.41371
1.84888,2628.42351
1.85190,2628.43331
1.85491,2629.95598
1.85793,2629.96578
1.86095,2629.97558
1.86397,2628.47252
1.86699,2628.48233
1.87001,2628.49213
1.87303,2628.50193
1.87604,2630.02460
1.93640,2631.73350
1.93942,2631.74330
1.94244,2631.75310
1.94546,2631.76291
1.94847,2631.77271
1.95149,2631.78251
1.95450,2633.30517
1.95752,2633.31497
1.96053,2634.83762
1.96355,2634.84743
1.96657,2634.85723
1.96959,2634.86703
1.97261,2634.87683
1.97563,2634.88663
1.97864,2634.89643
