# source: TM-100991 pdf p.45, Figure 9, panel PCNG
# quantity: PCNG vs time, Ballin real-time model (solid line) -- the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (0 to 5.0). The vertical frames are fitted over THIS panel's rows: left column 601.13 (slope -5.50 m px/row), right 2259.79 (slope -7.61), width 1658.66 px against the page-wide 1671. The page is skewed; see `Panel.left_slope`.
# value: PCNG, axis range 80.0 to 100.0, no unit printed on the figure
# points: 664
# x tick check: worst interior major tick off by 0.0154 s
# frame tilt corrected: top +4.49 px, bottom +4.50 px across the panel (+1.36 % of panel height). The page is skewed; see `frame_tilt`.
# dropped: 4 trailing sample(s) at t = 4.86867, 4.87169, 4.87469, 4.87772 s, behind an x-gap of 132x the median sample interval (0.00301 s). The curve ends at t=4.47056 s with value 98.94050; the dropped samples read 90.45, 90.45, 90.48, 90.45. Re-acquired ink past the end of the plotted curve, not data. See open question #48.
# NOT transcribed. Values carry read error.
t_s,value
1.85410,98.22318
1.85711,98.22334
1.86012,98.25381
1.86313,98.25398
1.86616,98.22383
1.86916,98.25430
1.87218,98.25447
1.87519,98.25463
1.93547,98.28820
1.93849,98.28836
1.94150,98.28852
1.94453,98.25838
1.94753,98.28885
1.95055,98.28901
1.95356,98.28917
1.95658,98.28934
1.95960,98.25919
1.96262,98.25936
1.96563,98.25952
1.96864,98.25968
1.97166,98.25985
1.97467,98.26001
1.97769,98.26017
1.98070,98.26033
2.03497,98.26327
2.03798,98.26343
2.04099,98.29390
2.04400,98.29406
2.04701,98.32453
2.05001,98.35500
2.05302,98.35517
2.05604,98.35533
2.05905,98.35549
2.06207,98.35566
2.06508,98.35582
2.06810,98.35598
2.07111,98.35614
2.07413,98.35631
2.07714,98.35647
2.13443,98.32926
2.13744,98.32942
2.14046,98.32959
2.14347,98.32975
2.14649,98.32991
2.14950,98.33008
2.15252,98.33024
2.15553,98.33040
2.15855,98.33057
2.16156,98.33073
2.16457,98.33089
2.16759,98.33105
2.17060,98.33122
2.17362,98.33138
2.17663,98.33154
2.17965,98.33171
2.23993,98.36527
2.24294,98.36544
2.24596,98.36560
2.24897,98.36576
2.25199,98.36593
2.25500,98.36609
2.25802,98.36625
2.26103,98.36641
2.26405,98.36658
2.26706,98.36674
2.27008,98.36690
2.27309,98.36707
2.27610,98.36723
2.27912,98.36739
2.33939,98.43127
2.34241,98.43143
2.34542,98.43159
2.34844,98.43176
2.35145,98.43192
2.35446,98.43208
2.35748,98.43224
2.36049,98.43241
2.36352,98.40226
2.36652,98.43273
2.36954,98.43290
2.37255,98.43306
2.37557,98.43322
2.37858,98.43339
2.43887,98.43665
2.44189,98.43681
2.44490,98.43697
2.44792,98.43713
2.45093,98.43730
2.45396,98.40715
2.45697,98.40732
2.45998,98.43779
2.46299,98.43795
2.46600,98.43811
2.46902,98.43828
2.47203,98.43844
2.47504,98.46891
2.47805,98.46907
2.48107,98.46923
2.53835,98.44203
2.54137,98.44219
2.54438,98.44235
2.54740,98.44251
2.55041,98.44268
2.55343,98.44284
2.55644,98.44300
2.55946,98.44317
2.56247,98.44333
2.56549,98.44349
2.56850,98.44366
2.57152,98.44382
2.57453,98.44398
2.57754,98.44414
2.58056,98.44431
2.63782,98.50802
